Title,Content,Combined_Text,Cluster_Labels,topic,sentiment_score,sentiment_category
South Africa aim for Elgar's Test farewell victory against India in series decider,south africa set face india final test newlands captain dean elgar biding farewell test career elgar prime form first test india hand expected make change bowling attack comprehensive defeat opening test ravindra jadeja likely return adding depth india batting lineup indian bowling lineup may see least one change avesh khan mukesh kumar contention,South Africa aim for Elgar's Test farewell victory against India in series decider south africa set face india final test newlands captain dean elgar biding farewell test career elgar prime form first test india hand expected make change bowling attack comprehensive defeat opening test ravindra jadeja likely return adding depth india batting lineup indian bowling lineup may see least one change avesh khan mukesh kumar contention,4,Entertainment,-0.2263,Negative
How to make the year 2024 successful? Expert suggests mindset shifts,new year call mindset alteration personal growth evolving mental framework embrace radical adaptability promoting inclusivity diversity cultivating digital wellness fostering purpose driven approach adopting continuous learning lifestyle shift empower u navigate life uncertainty embrace change courageously contribute flexible dynamic global community valuing diversity setting boundary technology aligning purpose embracing lifelong learning achieve personal professional success,How to make the year 2024 successful? Expert suggests mindset shifts new year call mindset alteration personal growth evolving mental framework embrace radical adaptability promoting inclusivity diversity cultivating digital wellness fostering purpose driven approach adopting continuous learning lifestyle shift empower u navigate life uncertainty embrace change courageously contribute flexible dynamic global community valuing diversity setting boundary technology aligning purpose embracing lifelong learning achieve personal professional success,3,Business,0.9774,Positive
Decision fatigue and goal setting: Expert shares tips to set resilient goals,decision fatigue psychological phenomenon diminishes effective choice impact goal setting mental fatigue recurring choice hamper emotional regulation attention impulse control alternative consideration set profound goal cultivate mindfulness clarity match objective belief incorporate gratitude create positive mindset control emotion better decision making develop emotional intelligence approach goal gratitude navigate decision point mindfully invest effort consciously streamline focused intentional high payoff,Decision fatigue and goal setting: Expert shares tips to set resilient goals decision fatigue psychological phenomenon diminishes effective choice impact goal setting mental fatigue recurring choice hamper emotional regulation attention impulse control alternative consideration set profound goal cultivate mindfulness clarity match objective belief incorporate gratitude create positive mindset control emotion better decision making develop emotional intelligence approach goal gratitude navigate decision point mindfully invest effort consciously streamline focused intentional high payoff,3,Business,0.9753,Positive
Japan lowers tsunami warning after series of earthquakes but says stay away from coast,japan dropped highest level tsunami alert series major earthquake urged resident coastal area return home due possibility deadly wave quake largest magnitude caused fire building collapse honshu japan main island number casualty remains unknown japan meteorological agency initially issued major tsunami warning ishikawa lower level warning rest western coast honshu emphasizing need immediate evacuation coastal area warning later downgraded regular tsunami,Japan lowers tsunami warning after series of earthquakes but says stay away from coast japan dropped highest level tsunami alert series major earthquake urged resident coastal area return home due possibility deadly wave quake largest magnitude caused fire building collapse honshu japan main island number casualty remains unknown japan meteorological agency initially issued major tsunami warning ishikawa lower level warning rest western coast honshu emphasizing need immediate evacuation coastal area warning later downgraded regular tsunami,0,Global Conflicts,-0.9712,Negative
GST kitty grows 10% in December on strong domestic sources,good service tax gst collection rose r crore december driven domestic source rise mop imported good lagged latest data released finance ministry pegged collection domestic source increased december transaction november central state gst rose around integrated gst levied inter state sale import grew pulled import igst import estimated increased indicating value shipment country remained muted november,GST kitty grows 10% in December on strong domestic sources good service tax gst collection rose r crore december driven domestic source rise mop imported good lagged latest data released finance ministry pegged collection domestic source increased december transaction november central state gst rose around integrated gst levied inter state sale import grew pulled import igst import estimated increased indicating value shipment country remained muted november,3,Business,0.91,Positive
Israel to pull back some troops from Gaza to boost economy,israeli military withdraw troop gaza strip temporarily citing toll israeli economy growing death toll gaza u urging israel scale back operation military spokesperson emphasized demobilization indicate compromise israel intention continue fighting reservist two brigade sent home three brigade taken back training u president secretary state involved discussion israel,Israel to pull back some troops from Gaza to boost economy israeli military withdraw troop gaza strip temporarily citing toll israeli economy growing death toll gaza u urging israel scale back operation military spokesperson emphasized demobilization indicate compromise israel intention continue fighting reservist two brigade sent home three brigade taken back training u president secretary state involved discussion israel,0,Global Conflicts,-0.4588,Negative
Young love meets Russian repression. They say 'I do' in a Moscow prison,nadezhda shtovba marries yegor shtovba short ceremony butyrka prison yegor pretrial detention yegor read love poem arrest denies accusation cheering anti war poem wedding testament young love midst russia crackdown freedom expression nadezhda loved one political prisoner face difficulty maintaining connection yegor poet artyom kamardin sentenced prison undermining national security inciting hatred,Young love meets Russian repression. They say 'I do' in a Moscow prison nadezhda shtovba marries yegor shtovba short ceremony butyrka prison yegor pretrial detention yegor read love poem arrest denies accusation cheering anti war poem wedding testament young love midst russia crackdown freedom expression nadezhda loved one political prisoner face difficulty maintaining connection yegor poet artyom kamardin sentenced prison undermining national security inciting hatred,1,Cultural,-0.8934,Negative
"British Sikh woman trekker, 33, claims solo skiing record",british sikh army officer physiotherapist captain harpreet chandi known polar preet claimed new world record becoming world fastest woman complete solo south pole ski expedition verified guinness world record could become third world record part latest solo antarctic expedition chandi set hercules inlet ronne ice shelf arrived south pole jan last year became first indian origin woman set record solo unsupported trek south pole,"British Sikh woman trekker, 33, claims solo skiing record british sikh army officer physiotherapist captain harpreet chandi known polar preet claimed new world record becoming world fastest woman complete solo south pole ski expedition verified guinness world record could become third world record part latest solo antarctic expedition chandi set hercules inlet ronne ice shelf arrived south pole jan last year became first indian origin woman set record solo unsupported trek south pole",4,Entertainment,-0.4019,Negative
7.6 Quake & Tsunami Waves In Japan,powerful earthquake struck japan destroying building knocking power ten thousand home wave tsunami warning issued along coast including neighboring south korea quake one many rock region new year day tv programming interrupted pm urging people evacuate higher ground building collapsed fire broke causing damage casualty power communication outage reported transportation service halted closed due earthquake,7.6 Quake & Tsunami Waves In Japan powerful earthquake struck japan destroying building knocking power ten thousand home wave tsunami warning issued along coast including neighboring south korea quake one many rock region new year day tv programming interrupted pm urging people evacuate higher ground building collapsed fire broke causing damage casualty power communication outage reported transportation service halted closed due earthquake,0,Global Conflicts,-0.9601,Negative
"India, Pakistan exchange lists of Nuclear-installations and prisoners",customary exchange list prisoner fisherman india pakistan first day new year took place monday india calling early release repatriation civilian prisoner missing indian defence personnel fisherman along boat pakistan custody context pakistan asked expedite release repatriation indian fisherman completed sentence government said provision agreement consular access list exchanged every year january july,"India, Pakistan exchange lists of Nuclear-installations and prisoners customary exchange list prisoner fisherman india pakistan first day new year took place monday india calling early release repatriation civilian prisoner missing indian defence personnel fisherman along boat pakistan custody context pakistan asked expedite release repatriation indian fisherman completed sentence government said provision agreement consular access list exchanged every year january july",0,Global Conflicts,-0.8225,Negative
Himachal govt issues notification to give ST status to Hattee community,himachal pradesh government issued notification granting scheduled tribe status hattee community trans giri area sirmaur district decision delayed due state government seeking clarification constitution scheduled tribe order hattee community demanding st status similar jaunsar bawar area uttarakhand community expressed gratitude cm sukhvinder singh sukhu issuing notification jai ram thakur leader opposition highlighted delay granting hattee community tribal status,Himachal govt issues notification to give ST status to Hattee community himachal pradesh government issued notification granting scheduled tribe status hattee community trans giri area sirmaur district decision delayed due state government seeking clarification constitution scheduled tribe order hattee community demanding st status similar jaunsar bawar area uttarakhand community expressed gratitude cm sukhvinder singh sukhu issuing notification jai ram thakur leader opposition highlighted delay granting hattee community tribal status,2,Politics,0.4215,Positive
"As prices fall, government may lift ban on onion export",government intervention procuring kharif onion disposing simultaneously brought average retail price wholesale price past one month considering trend decline price short shelf life summer crop government may look option lifting export ban calibrated manner official said source onion trade said informed government functionary centre would allow export government cooperative,"As prices fall, government may lift ban on onion export government intervention procuring kharif onion disposing simultaneously brought average retail price wholesale price past one month considering trend decline price short shelf life summer crop government may look option lifting export ban calibrated manner official said source onion trade said informed government functionary centre would allow export government cooperative",3,Business,-0.743,Negative
"Winter wildfires surge in Uttarakhand , 1000+ alerts received",uttarakhand witness rise winter wildfire forest survey india sending fire alert november january fire reported across district including uttarkashi nainital bageshwar tehri dehradun pithoragarh pauri almora concern raised increased human wildlife conflict animal try escape flame wildlife conservationist link fire illegal activity reason fire surge include controlled burning agricultural residue burning waste burning forest clearing villager expressed concern citing absence rainfall snow last three month making region dry,"Winter wildfires surge in Uttarakhand , 1000+ alerts received uttarakhand witness rise winter wildfire forest survey india sending fire alert november january fire reported across district including uttarkashi nainital bageshwar tehri dehradun pithoragarh pauri almora concern raised increased human wildlife conflict animal try escape flame wildlife conservationist link fire illegal activity reason fire surge include controlled burning agricultural residue burning waste burning forest clearing villager expressed concern citing absence rainfall snow last three month making region dry",0,Global Conflicts,-0.9062,Negative
Nobel laureate Yunus sentenced to 6 months in jail by Bangladesh court,bangladesh nobel laureate economist dr muhammad yunus sentenced six month jail violating labour law verdict termed politically motivated year old economist sought bail granted month exchange bond court gave defence day appeal yunus founder grameen bank nobel peace prize anti poverty campaign three colleague accused creating worker welfare fund grameen telecom,Nobel laureate Yunus sentenced to 6 months in jail by Bangladesh court bangladesh nobel laureate economist dr muhammad yunus sentenced six month jail violating labour law verdict termed politically motivated year old economist sought bail granted month exchange bond court gave defence day appeal yunus founder grameen bank nobel peace prize anti poverty campaign three colleague accused creating worker welfare fund grameen telecom,2,Politics,0.5423,Positive
Maoist-forces crossfire claims life of 6-mth-old,six month old baby killed mother injured encounter security force maoist bijapur district chhattisgarh gun battle took place mutvandi village forest region around km bijapur town force went operation forest gangaloor based specific intelligence presence chandranna mangli maoist leader mother child caught crossfire security force retreat two personnel injured,Maoist-forces crossfire claims life of 6-mth-old six month old baby killed mother injured encounter security force maoist bijapur district chhattisgarh gun battle took place mutvandi village forest region around km bijapur town force went operation forest gangaloor based specific intelligence presence chandranna mangli maoist leader mother child caught crossfire security force retreat two personnel injured,0,Global Conflicts,-0.7351,Negative
At least six dead after huge earthquake rocks Japan on New Year's Day,powerful earthquake hit central japan new year day killed least six people police local authority early tuesday reported case body pulled rubble collapsed building quake preliminary magnitude struck middle afternoon monday destroying building knocking power ten thousand home prompting resident coastal area flee higher ground also triggered wave metre ft high along japan long western seaboard well neighbouring south korea,At least six dead after huge earthquake rocks Japan on New Year's Day powerful earthquake hit central japan new year day killed least six people police local authority early tuesday reported case body pulled rubble collapsed building quake preliminary magnitude struck middle afternoon monday destroying building knocking power ten thousand home prompting resident coastal area flee higher ground also triggered wave metre ft high along japan long western seaboard well neighbouring south korea,0,Global Conflicts,-0.875,Negative
New national cooperation policy to come up this month,india introduce new national cooperation policy month strengthen cooperative movement grassroots level policy aim promote cooperative based economic development legal institutional framework focus creating vibrant economic entity modernizing technology expanding export market providing level playing field incentive capital infusion policy may propose establishment national cooperative tribunal national board cooperative well national cooperative bank india,New national cooperation policy to come up this month india introduce new national cooperation policy month strengthen cooperative movement grassroots level policy aim promote cooperative based economic development legal institutional framework focus creating vibrant economic entity modernizing technology expanding export market providing level playing field incentive capital infusion policy may propose establishment national cooperative tribunal national board cooperative well national cooperative bank india,3,Business,0.9371,Positive
Centre lists Goldy Brar as terrorist under UAPA,centre monday listed canada based babbar khalsa international bki operative gangster satwinder singh alias goldy brar accused case relating extortion targeted killing punjab smuggling high grade arm ammunition explosive material via drone across india western border killing terrorist fourth schedule unlawful activity prevention act uapa goldy closely associated gangster lawrence bishnoi also link bki operative lakhbir singh alias landa,Centre lists Goldy Brar as terrorist under UAPA centre monday listed canada based babbar khalsa international bki operative gangster satwinder singh alias goldy brar accused case relating extortion targeted killing punjab smuggling high grade arm ammunition explosive material via drone across india western border killing terrorist fourth schedule unlawful activity prevention act uapa goldy closely associated gangster lawrence bishnoi also link bki operative lakhbir singh alias landa,1,Cultural,-0.9764,Negative
"Following, abusing a woman not offence of outraging modesty: High Court",following abusing pushing woman might annoying act constitute offence outraging modesty ipc section nagpur bench bombay hc ruled granted relief man convicted judicial magistrate first class court wardha justice anil pansare acquitted appellant year old labourer saying prosecution failed prove case beyond reasonable doubt college student filed police complaint man alleging followed couple time abused,"Following, abusing a woman not offence of outraging modesty: High Court following abusing pushing woman might annoying act constitute offence outraging modesty ipc section nagpur bench bombay hc ruled granted relief man convicted judicial magistrate first class court wardha justice anil pansare acquitted appellant year old labourer saying prosecution failed prove case beyond reasonable doubt college student filed police complaint man alleging followed couple time abused",2,Politics,-0.7153,Negative
Truckers protest 10-year jail for hit-and-run cases,truck bus driver protesting provision year jail hit run case protest happening across state trucker transporter organization appealing centre address issue escalates largest trucker body aimtc written prime minister home minister expressing concern provision new law become cause concern truck driver truck stranded gujarat maharashtra madhya pradesh uttar pradesh odisha rajasthan,Truckers protest 10-year jail for hit-and-run cases truck bus driver protesting provision year jail hit run case protest happening across state trucker transporter organization appealing centre address issue escalates largest trucker body aimtc written prime minister home minister expressing concern provision new law become cause concern truck driver truck stranded gujarat maharashtra madhya pradesh uttar pradesh odisha rajasthan,2,Politics,-0.7003,Negative
RJD's 'temple means mental slavery' poster triggers row,controversial poster criticizing temple equating superstition idiocy ignorance surfaced outside residence rjd chief lalu prasad wife rabri devi poster feature photograph rjd mla fateh bahadur singh prominent party leader drew criticism bjp jd u bihar ahead inauguration ram temple ayodhya bjp called rjd anti sanatan emphasized ram temple symbolizes faith nation rjd mp manoj jha criticized bjp using temple card political gain,RJD's 'temple means mental slavery' poster triggers row controversial poster criticizing temple equating superstition idiocy ignorance surfaced outside residence rjd chief lalu prasad wife rabri devi poster feature photograph rjd mla fateh bahadur singh prominent party leader drew criticism bjp jd u bihar ahead inauguration ram temple ayodhya bjp called rjd anti sanatan emphasized ram temple symbolizes faith nation rjd mp manoj jha criticized bjp using temple card political gain,1,Cultural,-0.7964,Negative
Trust members selected Ram Lalla idol on December 29,idol ram lalla ayodhya ram temple selected december voting process chosen idol revealed public january nagar yatra photograph video idol released idol blindfolded nagar yatra consecration ceremony begin january pm everyone encouraged perform aarti distribute prasad light lamp sunset,Trust members selected Ram Lalla idol on December 29 idol ram lalla ayodhya ram temple selected december voting process chosen idol revealed public january nagar yatra photograph video idol released idol blindfolded nagar yatra consecration ceremony begin january pm everyone encouraged perform aarti distribute prasad light lamp sunset,1,Cultural,0.7003,Positive
Uttarakhand bans agri land purchase by 'outsiders',purchase agricultural horticulture land people state banned uttarakhand five member committee submits final report new land law committee headed additional chief secretary radha raturi instructed chief minister pushkar singh dhami review draft submitted committee led former chief secretary subhash kumar committee interact people different part state take suggestion expert presenting final draft,Uttarakhand bans agri land purchase by 'outsiders' purchase agricultural horticulture land people state banned uttarakhand five member committee submits final report new land law committee headed additional chief secretary radha raturi instructed chief minister pushkar singh dhami review draft submitted committee led former chief secretary subhash kumar committee interact people different part state take suggestion expert presenting final draft,2,Politics,-0.4588,Negative
"After US, India second country to send dedicated satellite to study black holes",isro ushered new year successful launch xposat x ray polarimeter satellite india first satellite conduct research black hole celestial object workhorse pslv placed satellite th flight km orbit final stage pslv c turned orbital experimental module poem test payload next month around minute lift satish dhawan space centre sriharikota rocket injected xposat,"After US, India second country to send dedicated satellite to study black holes isro ushered new year successful launch xposat x ray polarimeter satellite india first satellite conduct research black hole celestial object workhorse pslv placed satellite th flight km orbit final stage pslv c turned orbital experimental module poem test payload next month around minute lift satish dhawan space centre sriharikota rocket injected xposat",4,Entertainment,0.7783,Positive
PSLV also carries students' satellite to space,student staff k j somaiya institute technology mumbai new year day mark beginning journey towards star reason four stage pslv lifted sriharikota rocket fourth stage called poem pslv orbital experimental module satellite designed developed student faculty institute named somaiya beliefsat second satellite fly mumbai first one pratham iit b launched september,PSLV also carries students' satellite to space student staff k j somaiya institute technology mumbai new year day mark beginning journey towards star reason four stage pslv lifted sriharikota rocket fourth stage called poem pslv orbital experimental module satellite designed developed student faculty institute named somaiya beliefsat second satellite fly mumbai first one pratham iit b launched september,4,Entertainment,0.128,Positive
Gunmen posing as cops kill 4 in Manipur; 6 hurt,assailant posing cop opened fire marketplace manipur thoubal district resulting four civilian death injury six others village defense volunteer also died gunfight attack linked extortion attempt state declared curfew three district cm n biren singh appealed peace assured attacker caught attack lilong chingjao came hour biren singh new year message expressed concern recent spike violence,Gunmen posing as cops kill 4 in Manipur; 6 hurt assailant posing cop opened fire marketplace manipur thoubal district resulting four civilian death injury six others village defense volunteer also died gunfight attack linked extortion attempt state declared curfew three district cm n biren singh appealed peace assured attacker caught attack lilong chingjao came hour biren singh new year message expressed concern recent spike violence,0,Global Conflicts,-0.9823,Negative
3 conditions now must to get community service for theft,theft convict get benefit community service punishment fulfil three condition convicted first time value stolen property le r either restored stolen property returned value stolen property bharatiya nyaya sanhita bns notified last month yet come force also provides community service punishment non appearance response proclamation section bharatiya nagarik suraksha sanhita bns,3 conditions now must to get community service for theft theft convict get benefit community service punishment fulfil three condition convicted first time value stolen property le r either restored stolen property returned value stolen property bharatiya nyaya sanhita bns notified last month yet come force also provides community service punishment non appearance response proclamation section bharatiya nagarik suraksha sanhita bns,3,Business,-0.7783,Negative
High Court 'not inclined' to give Teesta relief in grave digging case,gujarat high court monday indicated looking record social activist teesta setalvad inclined grant relief pandarwada mass grave digging case setalvad filed petition court name included fir connection digging graf exhuming body mass burial site near pandarwada panchmahal district december body killed post godhra violence,High Court 'not inclined' to give Teesta relief in grave digging case gujarat high court monday indicated looking record social activist teesta setalvad inclined grant relief pandarwada mass grave digging case setalvad filed petition court name included fir connection digging graf exhuming body mass burial site near pandarwada panchmahal district december body killed post godhra violence,0,Global Conflicts,-0.7269,Negative
"2023 was 2nd warmest on record in the country since 1901, says IMD",year second warmest record india temperature anomaly c long term average thunderstorm lightning caused human casualty due extreme weather event globally warmest year record temperature anomaly c pre industrial level india meteorological department attributed high temperature el nino condition madhya pradesh reported highest number casualty followed uttar pradesh,"2023 was 2nd warmest on record in the country since 1901, says IMD year second warmest record india temperature anomaly c long term average thunderstorm lightning caused human casualty due extreme weather event globally warmest year record temperature anomaly c pre industrial level india meteorological department attributed high temperature el nino condition madhya pradesh reported highest number casualty followed uttar pradesh",3,Business,0.1531,Positive
Sky beckons: DGCA issues maximum pilot licences in 2023,india issued highest ever number commercial pilot licence cpl last year almost last year woman got cpls total issued said official directorate general civil aviation dgca number cpls issued dgca last decade almost doubled last year share going woman nearly tripled period,Sky beckons: DGCA issues maximum pilot licences in 2023 india issued highest ever number commercial pilot licence cpl last year almost last year woman got cpls total issued said official directorate general civil aviation dgca number cpls issued dgca last decade almost doubled last year share going woman nearly tripled period,3,Business,0.4215,Positive
Wrong to say collegium lacks transparency: CJI DY Chandrachud,day retired colleague justice sk kaul said one accept problem collegium method appointment judge chief justice india chandrachud defended system said step taken ensure greater transparency say collegium system lacking transparency would correct taken step ensure greater transparency maintained sense objectivity decision making process maintained cji said interview monday,Wrong to say collegium lacks transparency: CJI DY Chandrachud day retired colleague justice sk kaul said one accept problem collegium method appointment judge chief justice india chandrachud defended system said step taken ensure greater transparency say collegium system lacking transparency would correct taken step ensure greater transparency maintained sense objectivity decision making process maintained cji said interview monday,2,Politics,0.9153,Positive
Kerala governor Khan alleges CM's involvement in SFI protest against him,kerala governor arif mohammed khan accuses student federation india sfi expressing cultural practice claim killed people kannur district accuses sfi supported chief minister pinarayi vijayan practicing fascism khan clarifies responsible law order situation state express confusion reason behind sfi action protest including burning effigy believed orchestrated involvement chief minister,Kerala governor Khan alleges CM's involvement in SFI protest against him kerala governor arif mohammed khan accuses student federation india sfi expressing cultural practice claim killed people kannur district accuses sfi supported chief minister pinarayi vijayan practicing fascism khan clarifies responsible law order situation state express confusion reason behind sfi action protest including burning effigy believed orchestrated involvement chief minister,2,Politics,-0.8402,Negative
"British Indians experiencing prejudice in UK due to UK media focus on 'cows, curry and caste’",survey british indian hindu community found many experiencing prejudice owing misrepresentation uk medium deriving colonial focus cow curry caste fifty nine per cent survey participant said personally witnessed experienced prejudice result british medium reporting hindu hinduism said medium report hinduism resulted negative perception british indian nation wide survey carried among respondent insight uk organisation represents british hindu indian community,"British Indians experiencing prejudice in UK due to UK media focus on 'cows, curry and caste’ survey british indian hindu community found many experiencing prejudice owing misrepresentation uk medium deriving colonial focus cow curry caste fifty nine per cent survey participant said personally witnessed experienced prejudice result british medium reporting hindu hinduism said medium report hinduism resulted negative perception british indian nation wide survey carried among respondent insight uk organisation represents british hindu indian community",3,Business,-0.9485,Negative
UK to bin passports and roll out advanced facial technology at airports,uk border force plan introduce advanced facial technology uk airport enable frictionless travel without need passport facial recognition technology determine passenger enter country aiming create intelligent border legacy passport desk replaced next generation e gate use advanced facial recognition enhanced security faster processing trial new technology begin coinciding roll electronic travel authorisation eta replace visa certain purpose,UK to bin passports and roll out advanced facial technology at airports uk border force plan introduce advanced facial technology uk airport enable frictionless travel without need passport facial recognition technology determine passenger enter country aiming create intelligent border legacy passport desk replaced next generation e gate use advanced facial recognition enhanced security faster processing trial new technology begin coinciding roll electronic travel authorisation eta replace visa certain purpose,3,Business,0.9118,Positive
Satellite designed by K J Somaiya institute lifts off with PSLV,new year day student staff k j somaiya institute technology witnessed launch four stage polar satellite launch vehicle pslv sriharikota rocket fourth stage called poem carried satellite somaiya beliefsat designed developed student faculty institute satellite weighing gram aim provide global communication ham operator fill gap left india decommissioned hamsat project started promotes student curiosity engagement radio frequency communication space technology,Satellite designed by K J Somaiya institute lifts off with PSLV new year day student staff k j somaiya institute technology witnessed launch four stage polar satellite launch vehicle pslv sriharikota rocket fourth stage called poem carried satellite somaiya beliefsat designed developed student faculty institute satellite weighing gram aim provide global communication ham operator fill gap left india decommissioned hamsat project started promotes student curiosity engagement radio frequency communication space technology,3,Business,0.6597,Positive
"'We have lost our Masjid, now there...': AIMIM chief Asaduddin Owaisi",inauguration ram temple ayodhya nearing aimim president asaduddin owaisi appealed youth muslim community watchful activity done bjp led centre owaisi emphasized importance mosque remaining inhabited expressed concern loss babri masjid urged young muslim stay united maintain support strength consecration ceremony ram temple held seven day starting january final day january,"'We have lost our Masjid, now there...': AIMIM chief Asaduddin Owaisi inauguration ram temple ayodhya nearing aimim president asaduddin owaisi appealed youth muslim community watchful activity done bjp led centre owaisi emphasized importance mosque remaining inhabited expressed concern loss babri masjid urged young muslim stay united maintain support strength consecration ceremony ram temple held seven day starting january final day january",2,Politics,0.765,Positive
Hard landing in Dubai: AI derosters pilot & orders probe; A320 grounded there for a week,air india flight made heavy landing dubai december luckily everyone onboard relatively young year old airbus neo vt ciq suffer structural damage made heavy landing g came stop safely pilot removed flying duty pending investigation plane remained grounded dubai extensive check week allowed fly back air india engineering base mumbai,Hard landing in Dubai: AI derosters pilot & orders probe; A320 grounded there for a week air india flight made heavy landing dubai december luckily everyone onboard relatively young year old airbus neo vt ciq suffer structural damage made heavy landing g came stop safely pilot removed flying duty pending investigation plane remained grounded dubai extensive check week allowed fly back air india engineering base mumbai,0,Global Conflicts,-0.4215,Negative
"Picnic spots in Odisha to display photos of accidents, testimonials of victims: SOP",state government released standard operating procedure sop curb casualty picnic tourist spot sop includes displaying photo accident testimonial victim discourage reckless drunk driving government aim reduce road accident casualty peak tourist season november february vehicle owner must obtain special permit regional transport office rtos transport passenger picnic spot transport department collaborate pollution control board distribute road safety message testimonial picnic spot,"Picnic spots in Odisha to display photos of accidents, testimonials of victims: SOP state government released standard operating procedure sop curb casualty picnic tourist spot sop includes displaying photo accident testimonial victim discourage reckless drunk driving government aim reduce road accident casualty peak tourist season november february vehicle owner must obtain special permit regional transport office rtos transport passenger picnic spot transport department collaborate pollution control board distribute road safety message testimonial picnic spot",3,Business,-0.9643,Negative
Maharashtra detects 29 JN.1 variant cases,people detected new jn variant coronavirus maharashtra pune district registered highest case followed thane beed chhatrapati sambhajinagar one case kolhapur akola sindhudurg nashik mumbai reported case state registered fresh case daily positivity rate thane highest active case followed mumbai pune older individual comorbidities adhere precaution,Maharashtra detects 29 JN.1 variant cases people detected new jn variant coronavirus maharashtra pune district registered highest case followed thane beed chhatrapati sambhajinagar one case kolhapur akola sindhudurg nashik mumbai reported case state registered fresh case daily positivity rate thane highest active case followed mumbai pune older individual comorbidities adhere precaution,1,Cultural,0.8074,Positive
"Senior national wrestling camps to commence on February 9, says IOA's ad-hoc panel",ad hoc panel led bhupender singh bajwa chief wushu association india including former hockey player mm somaya ex shuttler manjusha kanwar currently making critical decision absence newly elected wrestling federation india wfi suspended sport ministry within three day poll upcoming national camp identify medallist weight division spanning senior free style greco roman woman category selection process draw performance athlete senior national taking place jaipur,"Senior national wrestling camps to commence on February 9, says IOA's ad-hoc panel ad hoc panel led bhupender singh bajwa chief wushu association india including former hockey player mm somaya ex shuttler manjusha kanwar currently making critical decision absence newly elected wrestling federation india wfi suspended sport ministry within three day poll upcoming national camp identify medallist weight division spanning senior free style greco roman woman category selection process draw performance athlete senior national taking place jaipur",2,Politics,-0.2732,Negative
"'Virat Kohli, Sachin Tendulkar and...': Nathan Lyon names best players he has played against",nathan lyon year old australian widely regarded one premier spinner current cricket landscape consistently troubling world top batter elusive spin recently seasoned veteran achieved significant milestone becoming eighth bowler reach wicket test cricket outclassing top batter lyon selected best batsman faced illustrious decade long test career also disclosed strategy tactic employ dismiss player,"'Virat Kohli, Sachin Tendulkar and...': Nathan Lyon names best players he has played against nathan lyon year old australian widely regarded one premier spinner current cricket landscape consistently troubling world top batter elusive spin recently seasoned veteran achieved significant milestone becoming eighth bowler reach wicket test cricket outclassing top batter lyon selected best batsman faced illustrious decade long test career also disclosed strategy tactic employ dismiss player",4,Entertainment,0.8957,Positive
"Six-month-old infant killed, mother injured in crossfire between security forces and Maoists in Bastar",six month old infant girl lost life mother sustained injury crossfire security force maoist mutvandi forest village gangaloor region bijapur district intense gun battle unfolded kilometer away bijapur district headquarters naxal cadre bhairamgarh area committee including chandranna mangli opened fire security force injured woman promptly taken district hospital kaved village operation still ongoing,"Six-month-old infant killed, mother injured in crossfire between security forces and Maoists in Bastar six month old infant girl lost life mother sustained injury crossfire security force maoist mutvandi forest village gangaloor region bijapur district intense gun battle unfolded kilometer away bijapur district headquarters naxal cadre bhairamgarh area committee including chandranna mangli opened fire security force injured woman promptly taken district hospital kaved village operation still ongoing",0,Global Conflicts,-0.9313,Negative
Andhra Pradesh to launch Jagananna Arogya Suraksha second phase on Tuesday,state government launching second phase jagananna aarogya suraksha jas program provide better health service poor program aim leave one behind village behind offering quality health service free cost first phase jas benefited lakh people second phase extend service people state specifically target chronic patient pregnant lactating mother neo natal infant care adolescent health person chronic disease,Andhra Pradesh to launch Jagananna Arogya Suraksha second phase on Tuesday state government launching second phase jagananna aarogya suraksha jas program provide better health service poor program aim leave one behind village behind offering quality health service free cost first phase jas benefited lakh people second phase extend service people state specifically target chronic patient pregnant lactating mother neo natal infant care adolescent health person chronic disease,3,Business,0.7783,Positive
5 injured in Thane road accident,collision suv stationary truck eastern express highway thane resulted serious injury five people suv carrying maintenance equipment railway cable lost control collided parked truck loaded brick injured individual taken thane civil hospital two critical condition later transferred mumbai hospital rescue operation five people freed mangled suv naupada police record statement initiate case,5 injured in Thane road accident collision suv stationary truck eastern express highway thane resulted serious injury five people suv carrying maintenance equipment railway cable lost control collided parked truck loaded brick injured individual taken thane civil hospital two critical condition later transferred mumbai hospital rescue operation five people freed mangled suv naupada police record statement initiate case,0,Global Conflicts,-0.8934,Negative
"David Bedingham story: Walking back from a car accident, banking on Virat Kohli's technique",david bedingham displayed immense promise already making mark first class cricket however burgeoning journey faced severe setback harrowing car accident sidelined south african year undeterred bedingham showcased tremendous resilience making determined comeback establish stalwart western province additionally gained valuable experience playing durham english county cricket amassing run game remarkable journey culminated impressive test debut india centurion last week,"David Bedingham story: Walking back from a car accident, banking on Virat Kohli's technique david bedingham displayed immense promise already making mark first class cricket however burgeoning journey faced severe setback harrowing car accident sidelined south african year undeterred bedingham showcased tremendous resilience making determined comeback establish stalwart western province additionally gained valuable experience playing durham english county cricket amassing run game remarkable journey culminated impressive test debut india centurion last week",4,Entertainment,0.8519,Positive
"POCO X6 Series Launch Date In India Revealed: All You Need To Know - Price, Specifications",poco x series likely priced r r india,"POCO X6 Series Launch Date In India Revealed: All You Need To Know - Price, Specifications poco x series likely priced r r india",4,Entertainment,0.0,Neutral
